Designator,Mid X,Mid Y,Rotation,Layer
C1,109.1495,-91.2505,180.0,top
C10,162.697,-98.593112,90.0,top
C11,170.697,-119.138,270.0,top
C2,102.3695,-65.5105,90.0,top
C3,107.3695,-65.5105,270.0,top
C4,142.5095,-65.8905,0.0,top
C5,118.0645,-75.7305,90.0,top
C6,129.7495,-103.5705,270.0,top
C7,126.8695,-126.30225,90.0,top
C9,160.162,-119.225435,270.0,top
D1,77.42625,-130.808943,0.0,top
J1,87.6695,-96.243,90.0,top
J2,89.6245,-70.606125,0.0,top
J3,199.29331,-109.7855,90.0,top
J4,199.29331,-77.5605,90.0,top
LS1,162.662,-130.773112,0.0,top
Q1,91.60125,-124.918943,270.0,top
Q2,143.7995,-133.9855,270.0,top
R1,86.4195,-105.793,270.0,top
R10,84.50125,-125.788943,180.0,top
R11,108.8495,-103.7405,270.0,top
R12,127.8745,-73.1705,270.0,top
R13,115.1495,-87.4405,90.0,top
R14,137.3495,-102.3205,0.0,top
R15,147.6495,-98.5405,270.0,top
R18,145.0695,-126.9055,90.0,top
R2,90.4195,-105.793,270.0,top
R3,123.9695,-73.1705,90.0,top
R4,105.0495,-97.2405,0.0,top
R5,145.0695,-71.9205,0.0,top
R6,145.0695,-75.6605,180.0,top
R7,143.9495,-98.5405,90.0,top
R8,84.50125,-132.088943,0.0,top
R9,84.50125,-122.588943,0.0,top
RV1,162.697,-93.503112,0.0,top
RV2,129.4095,-131.55225,180.0,top
RV3,123.9695,-63.9705,180.0,top
RV4,147.6495,-107.4305,180.0,top
RV5,108.8495,-112.9405,0.0,top
SW1,107.1395,-131.4755,0.0,top
SW2,110.8395,-131.4755,0.0,top
U1,122.3595,-98.5105,0.0,top
U2,163.972,-106.503112,270.0,top
