Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C6",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,220n,
"C11, C3",CP_Radial_D5.0mm_P2.50mm,2,10u,
C2,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,100n,
"C4, C5",CP_Radial_D5.0mm_P2.50mm,2,22u,
C7,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,3.3u,
C9,CP_Radial_D10.0mm_P2.50mm,1,1000u,
D1,PinSocket_1x02_P2.54mm_Vertical,1,IF-E91A,
J1,Jack_3.5mm_PJ320E_Horizontal,1,AudioJack4,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J3,TerminalBlock_MaiXu_MX126-5.0-10P_1x10_P5.00mm,1,Conn_01x10,
J4,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Conn_01x02,
LS1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Speaker,
Q1,TO-92_Inline,1,2N2222,
Q2,PinSocket_1x02_P2.54mm_Vertical,1,Q_Photo_NPN,
"R1, R2, R3, R4, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,10k,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470,
"R11, R15, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,150,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5.6k,
"R13, R14",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100k,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,47k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,82,
"RV1, RV2, RV4, RV5",Potentiometer_Bourns_3266Y_Vertical,4,10k,
RV3,Potentiometer_Bourns_3266Y_Vertical,1,5k,
"SW1, SW2",PinHeader_1x03_P2.54mm_Vertical,2,SW_SPDT,
U1,DIP-8_W7.62mm_LongPads,1,LM358P,
U2,DIP-8_W7.62mm_LongPads,1,LM386,
